PropertySize,LivingArea,YearBuilt,Bedrooms,Price
0,8450,1710,2003,3,208500
1,9600,1262,1976,3,181500
2,11250,1786,2001,3,223500
3,9550,1717,1915,3,140000
4,14260,2198,2000,4,250000
5,14115,1362,1993,1,143000
6,10084,1694,2004,3,307000
7,10382,2090,1973,3,200000
8,6120,1774,1931,2,129900
9,7420,1077,1939,2,118000
10,11200,1040,1965,3,129500
11,11924,2324,2005,4,345000
12,12968,912,1962,2,144000
13,10652,1494,2006,3,279500
14,10920,1253,1960,2,157000
15,6120,854,1929,2,132000
16,11241,1004,1970,2,149000
17,10791,1296,1967,2,90000
18,13695,1114,2004,3,159000
19,7560,1339,1958,3,139000
20,14215,2376,2005,4,325300
21,7449,1108,1930,3,139400
22,9742,1795,2002,3,230000
23,4224,1060,1976,3,129900
24,8246,1060,1968,3,154000
25,14230,1600,2007,3,256300
26,7200,900,1951,3,134800
27,11478,1704,2007,3,306000
28,16321,1600,1957,2,207500
29,6324,520,1927,1,68500
30,8500,1317,1920,3,40000
31,8544,1228,1966,3,149350
32,11049,1234,2007,3,179900
33,10552,1700,1959,4,165500
34,7313,1561,2005,2,277500
35,13418,2452,2004,4,309000
36,10859,1097,1994,3,145000
37,8532,1297,1954,3,153000
38,7922,1057,1953,3,109000
39,6040,1152,1955,2,82000
40,8658,1324,1965,3,160000
41,16905,1328,1959,2,170000
42,9180,884,1983,2,144000
43,9200,938,1975,3,130250
44,7945,1150,1959,3,141000
45,7658,1752,2005,2,319900
46,12822,2149,2003,1,239686
47,11096,1656,2006,3,249700
48,4456,1452,1920,2,113000
49,7742,955,1966,3,127000
50,13869,1470,1997,3,177000
51,6240,1176,1934,3,114500
52,8472,816,1963,2,110000
54,7134,1360,1955,3,130000
55,10175,1425,1964,3,180500
56,2645,1739,1999,3,172500
57,11645,1720,2004,3,196500
58,13682,2945,2006,3,438780
59,7200,780,1972,2,124900
60,13072,1158,2004,3,158000
61,7200,1111,1920,3,101000
62,6442,1370,2006,2,202500
63,10300,1710,1921,3,140000
64,9375,2034,1997,3,219500
65,9591,2473,2004,4,317000
66,19900,2207,1970,3,180000
67,10665,1479,2003,3,226000
68,4608,747,1945,2,80000
69,15593,2287,1953,3,225000
70,13651,2223,1973,3,244000
71,7599,845,1982,2,129500
72,10141,1718,1998,3,185000
73,10200,1086,1954,3,144900
74,5790,1605,1915,3,107400
75,1596,988,1973,2,91000
76,8475,952,1956,2,135750
77,8635,1285,1948,2,127000
78,10778,1768,1968,4,136500
79,10440,1230,1910,2,110000
80,13000,2142,1968,4,193500
81,4500,1337,1998,2,153500
82,10206,1563,2007,3,245000
83,8892,1065,1960,3,126500
84,8530,1474,1995,3,168500
