,end_station_name,end_station_id
640,10th & E St NW,31256.0
347,10th & Florida Ave NW,31120.0
1939,10th & G St NW,31274.0
2555549,10th & H St NE,31672.0
23,10th & K St NW,31263.0
488,10th & Monroe St NE,31504.0
6403713,10th & Quincy St NE / Turkey Thicket Rec,31541.0
4904915,10th & Rhode Island Ave NE,31535.0
145,10th & U St NW,31111.0
157,10th St & Constitution Ave NW,31219.0
4905931,10th St & Florida Ave NW,31120.0
1554,10th St & L'Enfant Plaza SW,31287.0
4926108,10th St & Rhode Island Ave NE,31535.0
7255794,10th St & Spring Rd NW,31426.0
1553,11th & C St SE,31659.0
4965203,11th & Clifton St NW,31136.0
1325,11th & F St NW,31262.0
36,11th & Girard St NW,31126.0
749,11th & H St NE,31614.0
195,11th & Kenyon St NW,31102.0
15,11th & M St NW,31266.0
39,11th & O St NW,31286.0
1500,11th & Park Rd NW,31651.0
496,11th & S St NW,31280.0
5441345,11th & V St NW,31332.0
2062374,11th & V st NW,31332.0
357,12th & Irving St NE,31511.0
30,12th & L St NW,31251.0
4759,12th & Newton St NE,31501.0
457,12th & U St NW,31268.0
6596313,12th & Varnum St NE,31542.0
6468964,12th St & New York Ave NW,31670.0
1898,12th St & Pennsylvania Ave SE,31644.0
245431,1301 McCormick Dr / Wayne K. Curry Admin Bldg,32400.0
605,13th & D St NE,31622.0
2001,13th & E St SE,31607.0
1603,13th & H St NE,31611.0
7165010,13th & O St NW/ Logan Circle,31311.0
392,13th & U St NW,31132.0
13395,13th St & Eastern Ave,32006.0
1038,13th St & New York Ave NW,31227.0
2,14th & Belmont St NW,31119.0
1343,14th & D St NW / Ronald Reagan Building,31231.0
668,14th & D St SE,31663.0
463,14th & G St NW,31238.0
65,14th & Girard St NW,31123.0
961,14th & Harvard St NW,31105.0
90,14th & Irving St NW,31124.0
443,14th & L St NW,31283.0
573,14th & Luzon St NW,31416.0
4,14th & Newton St NW,31649.0
97,14th & Otis Pl NW,31131.0
61,14th & Q St NW,31327.0
9,14th & R St NW,31202.0
100,14th & Rhode Island Ave NW,31203.0
922,14th & Upshur St NW,31406.0
214,14th & V St NW,31101.0
2763,14th St & Colorado Ave NW,31407.0
5091223,14th St & Luzon Ave NW,31416.0
11,14th St & New York Ave NW,31216.0
7295403,14th St & Rhode Island Ave NW,31203.0
420,14th St & Spring Rd NW,31401.0
564,14th St Heights / 14th & Crittenden St NW,31402.0
507,15th & East Capitol St NE,31630.0
190,15th & Euclid St  NW,31117.0
1486509,15th & Euclid St NW,31117.0
419,15th & F St NE,31632.0
241945,15th & Harvard St NW,31103.0
1148,15th & K St NW,31254.0
926,15th & L St NW,31276.0
193,15th & M St NW,31298.0
221,15th & P St NW,31201.0
27,15th & W St NW,31125.0
238,15th St & Constitution Ave NW,31321.0
754,15th St & Massachusetts Ave SE,31626.0
3583,15th St & N Scott St,31031.0
1243,15th St & Pennsylvania Ave NW,31129.0
6311138,16th & Bangor St SE,31829.0
383,16th & Harvard St NW,31103.0
2912618,16th & Harvard St NW,31135.0
124,16th & Irving St NW,31122.0
40923,16th & Q St SE / Anacostia HS,31812.0
418,16th & R St NW,31282.0
184,17th & Corcoran St NW,31214.0
804,17th & G St NW,31277.0
1566,17th & K St NW,31213.0
777,17th & K St NW / Farragut Square,31233.0
2039890,17th & P St NW,31330.0
991,17th & Upshur St NW,31420.0
557,17th St & Independence Ave SW,31290.0
87,17th St & Massachusetts Ave NW,31267.0
6642191,17th St & New York Ave NW,33200.0
6486469,17th St & Rhode Island Ave NW,31210.0
1888,18th & C St NW,31284.0
519,18th & L St NW,31224.0
312,18th & M St NW,31221.0
9998,18th & Monroe St NE,31521.0
284,18th & New Hampshire Ave NW,31324.0
141,18th & R St NW,31278.0
1058,18th St & Pennsylvania Ave NW,31242.0
784,18th St & Rhode Island Ave NE,31510.0
91,18th St & S Eads St,31001.0
111,18th St & Wyoming Ave NW,31114.0
705,19th & E Street NW,31206.0
514,19th & East Capitol St SE,31601.0
3492,19th & G St NW,31279.0
6617861,19th & I St NW,31253.0
1389,19th & K St NW,31253.0
106700,19th & Savannah St SE,31815.0
1385,19th St & Constitution Ave NW,31235.0
1081,19th St & Pennsylvania Ave NW,31100.0
5947915,19th St N & Ft Myer Dr,31014.0
1187,1st & D St SE,31643.0
535,1st & H St NW,31638.0
3821870,1st & I St SE,31628.0
301,1st & K St NE,31662.0
767,1st & K St SE,31628.0
6300316,1st & L St NW,31677.0
125,1st & M St NE,31603.0
8,1st & M St SE,31650.0
344,1st & N St  SE,31209.0
1473586,1st & N St SE,31209.0
73,1st & O St NW,31519.0
5077291,1st & Q St SW,31676.0
314,1st & Rhode Island Ave NW,31506.0
244,1st & S Capitol St SE / Oxon Run Trail,31817.0
60,1st & Washington Hospital Center NW,31507.0
788,1st St & Potomac Ave SE,31668.0
39608,20th & Columbia Rd NW,31133.0
877,20th & E St NW,31204.0
153,20th & L St NW,31250.0
167,20th & O St NW / Dupont South,31234.0
508,20th St & Florida Ave NW,31110.0
112,20th St & Virginia Ave NW,31259.0
995,21st & I St NW,31205.0
2542,21st St & Constitution Ave NW,31261.0
302,21st St & G st NW,31328.0
2668,21st St & N Pierce St,31093.0
2218,21st St & Pennsylvania Ave NW,31252.0
4761,22nd & H St NW,31127.0
706,22nd & I St NW / Foggy Bottom,31257.0
255,22nd & P ST NW,31285.0
1082,22nd St & Constitution Ave NW,31292.0
98,23rd & E St NW ,31260.0
283,23rd & M St NW,31128.0
2205,23rd St S & Hayes St,31938.0
4491,24th & N St NW,31255.0
1588,24th & R St NE / National Arboretum,31520.0
7846047,24th St & Rhode Island Ave NE,31543.0
146,25th St & Pennsylvania Ave NW,31237.0
1906,28th St & S Meade St,31055.0
258,2nd & G St NE,31639.0
3776,2nd & V St SW / James Creek Marina,31667.0
637,2nd St & Massachusetts Ave NE,31641.0
480,2nd St & Seaton Pl NE,31522.0
185,3000 Connecticut Ave NW / National Zoo,31307.0
1225,31st & Water St NW,31293.0
9780,31st St & S Woodrow St,31072.0
241,34th & Water St NW,31314.0
641,34th St & Wisconsin Ave NW,31226.0
362,36th & Calvert St NW / Glover Park,31304.0
2196,37th & Ely Pl SE,31715.0
712,37th & O St NW / Georgetown University,31236.0
402,39th & Calvert St NW / Stoddert,31306.0
1071,39th & Veazey St NW,31308.0
885,3rd & D St SE,31605.0
453,3rd & Elm St NW,31118.0
499,3rd & G St SE,31625.0
467,3rd & H St NE,31616.0
328,3rd & H St NW,31604.0
34,3rd & M St NE,31627.0
4293926,3rd & M St SE,31669.0
13605,3rd & M st SE,31669.0
6243710,3rd & N St NE,31540.0
259,3rd & Tingey St SE,31634.0
1746,3rd & Underwood St NW,31413.0
1034,3rd St & Pennsylvania Ave SE,31269.0
7423,3rd St & Riggs Rd NE,31412.0
6381906,41st St & Alabama Ave SE / Fort Davis Rec,31724.0
18854,47th & Elm St,32021.0
1745,48th Pl & MacArthur Blvd NW,31322.0
156,4th & C St SW,31243.0
5244501,4th & College St NW,31138.0
3015,4th & D St NW / Judiciary Square,31621.0
183,4th & E St SW,31244.0
541,4th & East Capitol St NE,31618.0
