start_station_id,min_started_at_max,max_started_at_min,difference
31103.0,2021-03-14 14:19:18,2022-01-18 18:03:20,-311 days +20:15:58
31974.0,2022-09-08 16:53:49,2023-06-30 16:11:07,-295 days +00:42:42
31720.0,2022-08-06 17:06:53,2022-09-02 10:57:07,-27 days +06:09:46
31293.0,2021-04-02 16:15:43,2021-04-12 18:29:24,-11 days +21:46:19
31627.0,2023-05-07 14:27:25,2023-05-11 08:51:35,-4 days +05:35:50
31014.0,2022-11-15 19:46:20,2022-11-18 08:18:12,-3 days +11:28:08
31666.0,2022-06-04 09:29:16,2022-06-06 13:18:26,-3 days +20:10:50
31253.0,2023-02-27 18:19:37,2023-03-01 09:19:22,-2 days +09:00:15
31305.0,2022-03-02 10:14:18,2022-03-03 22:05:34,-2 days +12:08:44
31261.0,2022-09-25 14:43:07,2022-09-26 18:06:13,-2 days +20:36:54
31669.0,2022-06-30 11:10:11,2022-06-30 15:14:19,-1 days +19:55:52
31628.0,2022-05-24 17:03:30,2022-05-24 16:56:30,0 days 00:07:00
32213.0,2023-03-06 16:07:08,2023-03-06 15:56:22,0 days 00:10:46
31120.0,2022-08-18 16:31:42,2022-08-18 16:20:24,0 days 00:11:18
31059.0,2022-12-09 15:49:36,2022-12-09 15:24:13,0 days 00:25:23
31058.0,2022-05-02 19:20:22,2022-05-02 18:45:18,0 days 00:35:04
31642.0,2022-03-23 09:45:58,2022-03-23 09:09:53,0 days 00:36:05
31030.0,2021-07-22 11:33:57,2021-07-22 10:56:34,0 days 00:37:23
31117.0,2021-08-09 14:36:36,2021-08-09 13:30:33,0 days 01:06:03
31079.0,2021-07-22 11:37:24,2021-07-22 10:23:37,0 days 01:13:47
31535.0,2022-08-18 17:05:02,2022-08-18 15:31:24,0 days 01:33:38
31047.0,2022-01-27 16:45:40,2022-01-27 15:03:51,0 days 01:41:49
31006.0,2022-12-09 16:53:44,2022-12-09 15:06:24,0 days 01:47:20
31080.0,2021-07-22 12:34:59,2021-07-22 10:32:45,0 days 02:02:14
31332.0,2022-09-29 12:18:14,2022-09-29 09:38:59,0 days 02:39:15
31203.0,2023-04-28 16:43:35,2023-04-28 13:54:14,0 days 02:49:21
31092.0,2021-07-22 12:39:21,2021-07-22 08:32:34,0 days 04:06:47
31049.0,2022-07-26 16:59:34,2022-07-26 10:14:53,0 days 06:44:41
32075.0,2022-09-13 17:20:35,2022-09-13 09:15:20,0 days 08:05:15
31061.0,2022-12-09 23:41:34,2022-12-09 14:54:29,0 days 08:47:05
31056.0,2022-12-09 17:13:34,2022-12-09 07:02:55,0 days 10:10:39
31926.0,2022-12-10 00:50:11,2022-12-09 13:10:11,0 days 11:40:00
31209.0,2021-08-09 16:18:00,2021-08-08 23:46:01,0 days 16:31:59
31015.0,2021-08-12 10:22:19,2021-08-11 16:35:41,0 days 17:46:38
31207.0,2022-02-22 15:36:25,2022-02-21 21:44:02,0 days 17:52:23
32204.0,2023-03-06 18:36:18,2023-03-05 23:26:39,0 days 19:09:39
