,start_station_name,start_station_id,min_started_at,max_started_at,min_ended_at,max_ended_at
0,Army Navy Dr & S Joyce St,31006.0,2021-01-02 11:47:22,2022-12-09 15:06:24,2021-01-02 12:15:11,2022-12-09 15:26:17
1,Pentagon Row Plaza / Army Navy Dr & Joyce St,31006.0,2022-12-09 16:53:44,2023-06-30 23:28:11,2022-12-09 17:11:14,2023-06-30 23:30:27
2,19th St N & Ft Myer Dr,31014.0,2022-11-15 19:46:20,2023-06-30 20:56:17,2022-11-15 20:04:29,2023-06-30 21:02:50
3,Lynn St & 19th St North,31014.0,2021-01-01 09:37:56,2022-11-18 08:18:12,2021-01-01 09:55:35,2022-11-18 08:27:08
4,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015.0,2021-01-01 14:33:57,2021-08-11 16:35:41,2021-01-01 14:52:06,2021-08-11 17:02:38
5,Wilson Blvd & Ft Myer Dr,31015.0,2021-08-12 10:22:19,2023-06-30 17:55:55,2021-08-12 10:33:39,2023-06-30 17:58:57
6,Wilson Blvd & N Quinn St,31027.0,2021-01-27 17:13:54,2023-06-30 19:43:49,2021-01-27 17:25:27,2023-06-30 19:46:37
7,Key Blvd & N Quinn St,31027.0,2021-01-02 09:28:00,2021-01-26 13:37:58,2021-01-02 09:35:01,2021-01-26 13:41:33
8,Langston Blvd & N Adams St,31030.0,2021-07-22 11:33:57,2023-06-30 18:30:58,2021-07-22 11:46:16,2023-06-30 18:36:07
9,Lee Hwy & N Adams St,31030.0,2021-01-01 12:48:18,2021-07-22 10:56:34,2021-01-01 13:09:00,2021-07-22 11:09:59
10,GMU/Fairfax Dr & Kenmore St,31040.0,2022-06-28 16:17:36,2023-06-30 19:59:54,2022-06-28 16:20:33,2023-06-30 20:13:57
11,GMU / Fairfax Dr & Kenmore St,31040.0,2021-01-01 12:32:28,2022-06-27 16:04:15,2021-01-01 12:40:39,2022-06-27 16:07:17
12,Braddock Rd Metro,31047.0,2021-01-02 10:56:00,2022-01-27 15:03:51,2021-01-02 11:05:15,2022-01-27 15:09:18
13,Braddock Rd Metro North,31047.0,2022-01-27 16:45:40,2023-06-30 19:34:16,2022-01-27 16:48:40,2023-06-30 19:36:44
14,Utah St & 11th St N,31049.0,2021-01-01 19:17:31,2022-07-26 10:14:53,2021-01-01 19:38:22,2022-07-26 10:21:34
15,Fairfax Dr & N Taylor St,31049.0,2022-07-26 16:59:34,2023-06-30 16:18:24,2022-07-26 17:01:08,2023-06-30 16:23:05
16,S Troy St & 26th St S,31056.0,2022-12-09 17:13:34,2023-06-30 18:44:07,2022-12-09 17:30:48,2023-06-30 18:55:24
17,Troy St & 26th St S,31056.0,2021-01-02 12:16:10,2022-12-09 07:02:55,2021-01-02 12:33:51,2022-12-09 07:41:40
